order_id,origin_id,origin_lat,origin_lng,dest_id,dest_lat,dest_lng,trip_distance,start_time,origin_grid_id,dest_grid_id,itinerary_node_list,itinerary_segment_dis_list,trip_time,designed_reward,cancel_prob,selected_mode,mode_prob_SAV,mode_prob_Taxi,mode_prob_Metro,mode_prob_Bus,trip_cost,trip_travel_time,trip_waiting_time,user_gender,user_age,user_income,user_education,user_household_size,user_car_ownership,user_pt_accessibility,user_shared_mobility_freq,user_av_experience,user_sm_experience,user_sm_willingness,user_major,user_region,Gender_encoded,Age_encoded,Income_encoded,Education_encoded,Household_Size_encoded,Car_Ownership_encoded,PT_Accessibility_encoded,Shared_Mobility_Frequency_encoded,AV_Experience_encoded,SM_Experience_encoded,SM_Willingness_encoded,Major_encoded,Region_encoded,source_scenario
11,8666,22.3695658,114.0778779,15486,22.4514943,114.0020102,11.99236024360547,35921,35,27,"[8666, 15486]",[11.99],799.4906829070313,108.51,0.05,SAV,0.5447,0.2151,0.1837,0.0565,50,35,3,Female,25-34,$48500 or more,Some college/Associate,3,Yes,Medium,Very often,Yes,No,No,Social Sciences,New Territories West,0,29,60000,2,3,1,2,4,1,0,0,3,4,Scenario_4.2
12,11987,22.2792655,114.2363308,11330,22.3735584,114.1174402,32.162667286219545,31332,63,45,"[11987, 11330]",[32.16],2144.177819081303,234.06,0.05,SAV,0.3872,0.089,0.3635,0.1603,240,40,10,Female,25-34,$10400??14300,Bachelor's degree,2,No,Low,Rarely,Yes,Yes,No,Engineering/Architecture,Hong Kong Island,0,29,12350,3,2,0,1,1,1,1,0,1,1,Scenario_4.1
13,11156,22.4418866,114.1664613,14924,22.4297539,114.2372162,7.396151097533968,24835,56,66,"[11156, 14924]",[7.40],493.07673983559783,46.08,0.05,SAV,0.2098,0.0787,0.2326,0.4788,240,40,10,Female,25-34,Unemployed / Prefer not to say,Bachelor's degree,4,Yes,Medium,Rarely,Yes,Yes,Yes,Engineering/Architecture,Kowloon,0,29,0,3,4,1,2,1,1,1,1,1,2,Scenario_4.1
14,11613,22.5453291,114.2207313,17657,22.4178877,114.068521,21.104099102314198,28605,68,36,"[11613, 17657]",[21.10],1406.9399401542798,158.36,0.05,SAV,0.5591,0.1739,0.1752,0.0918,40,16,5,Female,18-24,$31100??48500,Some college/Associate,1,Yes,Medium,Never,Yes,No,Yes,Social Sciences,Kowloon,0,21,39800,2,1,1,2,0,1,0,1,3,2,Scenario_4.4
15,14769,22.4398552,114.0687376,20254,22.4066469,114.2217582,16.156263020271613,25742,36,66,"[14769, 20254]",[16.16],1077.084201351441,118.01,0.05,SAV,0.2719,0.1039,0.2858,0.3385,240,40,10,Male,25-34,$19800??31100,Bachelor's degree,3,Yes,Medium,Sometimes,No,Yes,Yes,Business/Finance,Sai Kung,1,29,25450,3,3,1,2,2,0,1,1,2,6,Scenario_4.1
16,7008,22.3495632,114.0971919,11456,22.3132112,114.1666465,7.396620593638159,28390,44,54,"[7008, 11456]",[7.40],493.1080395758772,57.6,0.05,SAV,0.4654,0.1783,0.1486,0.2076,20,7,3,Female,18-24,$31100??48500,Bachelor's degree,3,Yes,High,Never,No,Yes,Yes,Science/Technology,Tsuen Wan,0,21,39800,3,3,1,3,0,0,1,1,4,9,Scenario_4.3
17,8026,22.4507401,114.0265154,12261,22.2753587,114.1551632,35.519191563836145,25358,37,53,"[8026, 12261]",[35.52],2367.946104255743,253.8,0.05,SAV,0.3657,0.1623,0.285,0.187,240,40,10,Female,35-44,$14300??19800,Graduate degree,3,Yes,High,Never,Yes,Yes,No,Engineering/Architecture,Kowloon,0,39,17050,4,3,1,3,0,1,1,0,1,2,Scenario_4.1
18,7097,22.3682161,114.1808771,11394,22.4595874,113.995267,21.616223373713808,35651,55,27,"[7097, 11394]",[21.62],1441.0815582475873,129.31,0.05,SAV,0.4483,0.1325,0.3212,0.098,40,16,5,Female,25-34,Less than $10400,Some college/Associate,1,Yes,Medium,Never,Yes,No,No,Engineering/Architecture,Tsuen Wan,0,29,5200,2,1,1,2,0,1,0,0,1,9,Scenario_4.4
19,16057,22.2849209,114.148079,18548,22.2834403,114.2219924,7.606751626348716,35161,43,63,"[16057, 18548]",[7.61],507.11677508991437,57.25,0.05,SAV,0.6131,0.083,0.2206,0.0833,50,35,3,Female,35-44,$19800??31100,Bachelor's degree,2,Yes,High,Often,No,Yes,Yes,Engineering/Architecture,Kowloon,0,39,25450,3,2,1,3,3,0,1,1,1,2,Scenario_4.2
20,11685,22.2628211,114.1804893,17978,22.3263621,114.1646445,7.251055129915989,22781,53,54,"[11685, 17978]",[7.25],483.40367532773257,58.45,0.05,SAV,0.3837,0.1223,0.2909,0.2031,50,35,3,Male,18-24,$14300??19800,Bachelor's degree,3,Yes,Medium,Sometimes,Yes,Yes,Yes,Business/Finance,Kowloon,1,21,17050,3,3,1,2,2,1,1,1,2,2,Scenario_4.2
21,12768,22.3552922,114.2407275,18132,22.3208406,114.1691048,8.302995199997039,25383,65,54,"[12768, 18132]",[8.30],553.5330133331358,61.66,0.05,SAV,0.4054,0.1144,0.183,0.2972,50,35,3,Female,18-24,$19800??31100,Bachelor's degree,3,Yes,Medium,Sometimes,No,Yes,Yes,Other,New Territories West,0,21,25450,3,3,1,2,2,0,1,1,6,4,Scenario_4.2
22,10016,22.3627905,114.0518967,15221,22.3861232,113.9711314,11.67052525133042,26208,35,25,"[10016, 15221]",[11.67],778.0350167553612,73.13,0.05,SAV,0.4404,0.1605,0.2312,0.1679,40,16,5,Female,35-44,Less than $10400,Bachelor's degree,1,Yes,High,Never,Yes,Yes,Yes,Other,New Territories West,0,39,5200,3,1,1,3,0,1,1,1,6,4,Scenario_4.4
23,9389,22.28587,114.1915952,17334,22.2800959,114.155328,4.399537652711466,29957,53,53,"[9389, 17334]",[4.40],293.3025101807644,37.01,0.05,SAV,0.2948,0.3743,0.2366,0.0943,20,7,3,Male,55-64,$31100??48500,Bachelor's degree,1,Yes,High,Never,Yes,Yes,Yes,Arts/Humanities,Sha Tin,1,59,39800,3,1,1,3,0,1,1,1,5,7,Scenario_4.3
24,8542,22.4533842,114.0392533,19210,22.3724279,113.9895486,9.285651525449511,23110,37,25,"[8542, 19210]",[9.29],619.0434350299674,72.93,0.05,SAV,0.2995,0.2327,0.323,0.1448,40,16,5,Male,35-44,$14300??19800,Bachelor's degree,2,Yes,Low,Never,Yes,Yes,No,Engineering/Architecture,New Territories East,1,39,17050,3,2,1,1,0,1,1,0,1,3,Scenario_4.4
25,16367,22.3288847,114.1903952,22526,22.3385414,114.1962628,1.2317520474143127,23232,54,54,"[16367, 22526]",[1.23],82.11680316095418,13.25,0.05,SAV,0.3414,0.209,0.2512,0.1984,50,35,3,Female,35-44,$19800??31100,Bachelor's degree,4,Yes,Low,Sometimes,Yes,Yes,No,Engineering/Architecture,Hong Kong Island,0,39,25450,3,4,1,1,2,1,1,0,1,1,Scenario_4.2
26,8601,22.4492306,113.9877972,15089,22.4141908,113.9826528,3.931961762,25667,26,26,"[8601, 15089]",[3.93],262.1307841,33.1,0.05,SAV,0.4341,0.1643,0.2731,0.1286,50,35,3,Male,Under 18,$19800??31100,Bachelor's degree,3,Yes,High,Rarely,Yes,Yes,No,Social Sciences,Kowloon,1,16,25450,3,3,1,3,1,1,1,0,3,2,Scenario_4.2
27,13614,22.2947304,114.020141,19528,22.3425344,114.178762,9.837602645905001,25579,33,54,"[13614, 19528]",[9.84],655.8401763936668,75.55,0.05,SAV,0.4791,0.1524,0.2436,0.1248,40,16,5,Female,Under 18,$19800??31100,High school or below,3,Yes,High,Often,Yes,No,No,Arts/Humanities,Kowloon,0,16,25450,1,3,1,3,3,1,0,0,5,2,Scenario_4.4
28,13735,22.3923389,113.977537,19462,22.3179153,114.1720243,21.645125686224414,24148,25,54,"[13735, 19462]",[21.65],1443.0083790816277,161.86,0.05,SAV,0.4141,0.2405,0.2041,0.1412,40,16,5,Male,25-34,$31100??48500,Bachelor's degree,3,Yes,Medium,Rarely,Yes,Yes,Yes,Engineering/Architecture,Sha Tin,1,29,39800,3,3,1,2,1,1,1,1,1,7,Scenario_4.4
29,17747,22.4138418,113.9678932,19196,22.3720985,113.9531454,4.883009270946734,28063,26,25,"[17747, 19196]",[4.88],325.5339513964489,39.09,0.05,SAV,0.4555,0.0808,0.303,0.1606,240,40,10,Female,35-44,$19800??31100,Bachelor's degree,1,No,Medium,Often,No,Yes,Yes,Other,Sai Kung,0,39,25450,3,1,0,2,3,0,1,1,6,6,Scenario_4.1
30,11354,22.3786624,114.1862049,17003,22.2775981,114.2395023,22.83615631682901,26067,55,63,"[11354, 17003]",[22.84],1522.410421121934,132.54,0.05,SAV,0.3241,0.0775,0.3222,0.2762,50,35,3,Female,18-24,Less than $10400,Graduate degree,3,Yes,Medium,Sometimes,No,No,Yes,Science/Technology,Kowloon,0,21,5200,4,3,1,2,2,0,0,1,4,2,Scenario_4.2
31,11149,22.3619386,114.1236649,15149,22.4012586,113.9730728,16.089101324154587,29090,45,26,"[11149, 15149]",[16.09],1072.606754943639,120.54,0.05,SAV,0.2489,0.132,0.2755,0.3436,240,40,10,Male,25-34,$19800??31100,Bachelor's degree,3,Yes,Low,Often,Yes,Yes,Yes,Science/Technology,Hong Kong Island,1,29,25450,3,3,1,1,3,1,1,1,4,1,Scenario_4.1
32,15034,22.436226,114.0064892,23209,22.3032407,114.171157,37.71809118310403,30254,26,54,"[15034, 23209]",[37.72],2514.539412206935,266.72,0.05,SAV,0.2678,0.332,0.2293,0.1709,50,35,3,Female,35-44,$31100??48500,Some college/Associate,3,Yes,Medium,Never,Yes,No,No,Science/Technology,Sha Tin,0,39,39800,2,3,1,2,0,1,0,0,4,7,Scenario_4.2
33,11044,22.5046759,114.1209322,17027,22.3519751,114.1281463,16.99573694222119,32308,48,45,"[11044, 17027]",[17.00],1133.0491294814126,99.1,0.05,SAV,0.5153,0.0311,0.3525,0.1011,240,40,10,Female,18-24,Unemployed / Prefer not to say,Graduate degree,1,Yes,High,Often,No,No,Yes,Engineering/Architecture,Hong Kong Island,0,21,0,4,1,1,3,3,0,0,1,1,1,Scenario_4.1
34,15367,22.3153655,114.1702382,23227,22.3629133,114.1340074,6.468283035280839,30845,54,45,"[15367, 23227]",[6.47],431.21886901872256,51.26,0.05,SAV,0.4263,0.2176,0.2939,0.0621,40,16,5,Male,35-44,$31100??48500,Graduate degree,2,Yes,High,Often,Yes,No,Yes,Science/Technology,Kowloon,1,39,39800,4,2,1,3,3,1,0,1,4,2,Scenario_4.4
35,14010,22.2940873,114.2020964,22207,22.3441308,114.2531638,12.17020673868552,28016,53,64,"[14010, 22207]",[12.17],811.3471159123679,87.37,0.05,SAV,0.1689,0.1393,0.2246,0.4672,40,16,5,Female,25-34,$14300??19800,Bachelor's degree,5+,Yes,Medium,Rarely,No,No,Yes,Social Sciences,Kowloon,0,29,17050,3,5,1,2,1,0,0,1,3,2,Scenario_4.4
36,10596,22.4160168,114.2248876,16971,22.4966091,114.1444026,8.031467985,22103,66,47,"[10596, 16971]",[8.03],535.431199,61.32,0.05,SAV,0.4548,0.2503,0.2158,0.0792,40,16,5,Female,25-34,$31100??48500,Bachelor's degree,3,Yes,High,Never,Yes,No,No,Engineering/Architecture,Kowloon,0,29,39800,3,3,1,3,0,1,0,0,1,2,Scenario_4.4
37,11100,22.2936918,113.9432507,18537,22.4470021,114.0623388,20.989570627135016,29587,23,36,"[11100, 18537]",[20.99],1399.304708475668,158.95,0.05,SAV,0.3799,0.1284,0.2819,0.2098,40,16,5,Male,18-24,$10400??14300,Bachelor's degree,3,Yes,Medium,Often,Yes,Yes,Yes,Science/Technology,Kowloon,1,21,12350,3,3,1,2,3,1,1,1,4,2,Scenario_4.4
38,14062,22.4413119,114.0852144,21986,22.30825,114.0121502,18.982988199255857,24773,46,34,"[14062, 21986]",[18.98],1265.5325466170573,109.5,0.05,SAV,0.3699,0.0674,0.4856,0.0771,50,35,3,Male,35-44,Less than $10400,Graduate degree,1,Yes,High,Often,No,No,Yes,Business/Finance,New Territories West,1,39,5200,4,1,1,3,3,0,0,1,2,4,Scenario_4.2
39,16607,22.2840756,114.2186215,20615,22.3124051,114.1666513,4.936267587724878,33540,53,54,"[16607, 20615]",[4.94],329.0845058483252,37.64,0.05,SAV,0.2635,0.0921,0.4848,0.1595,20,7,3,Male,18-24,$14300??19800,Bachelor's degree,3,No,High,Rarely,No,No,Yes,Business/Finance,Hong Kong Island,1,21,17050,3,3,0,3,1,0,0,1,2,1,Scenario_4.3
40,21146,22.2805476,114.1787946,26244,22.2859192,114.1914309,1.4307969655004869,32460,53,53,"[21146, 26244]",[1.43],95.38646436669912,13.28,0.05,SAV,0.1393,0.2368,0.357,0.2669,240,40,10,Male,55-64,$14300??19800,Bachelor's degree,2,Yes,Low,Never,Yes,Yes,No,Social Sciences,New Territories East,1,59,17050,3,2,1,1,0,1,1,0,3,3,Scenario_4.1
41,19404,22.4096435,114.0640974,20878,22.2961643,114.0122052,26.642659904932184,22147,36,33,"[19404, 20878]",[26.64],1776.177326995479,189.59,0.05,SAV,0.3089,0.1064,0.3554,0.2293,50,35,3,Female,35-44,$10400??14300,Bachelor's degree,2,Yes,Low,Rarely,No,No,Yes,Engineering/Architecture,Hong Kong Island,0,39,12350,3,2,1,1,1,0,0,1,1,1,Scenario_4.2
42,14334,22.4963294,114.0670495,19716,22.4532285,114.0253736,6.426978468765832,34855,37,37,"[14334, 19716]",[6.43],428.4652312510554,51.92,0.05,SAV,0.2707,0.247,0.3702,0.1122,40,16,5,Male,45-54,$19800??31100,Graduate degree,2,Yes,Medium,Rarely,Yes,No,Yes,Business/Finance,Kowloon,1,49,25450,4,2,1,2,1,1,0,1,2,2,Scenario_4.4
43,20226,22.5046678,114.0922891,24036,22.4064835,114.2174521,24.26019012708962,34000,48,56,"[20226, 24036]",[24.26],1617.3460084726414,182.51,0.05,SAV,0.6762,0.0865,0.1735,0.0638,50,35,3,Female,25-34,$19800??31100,Bachelor's degree,1,Yes,Medium,Often,Yes,Yes,Yes,Social Sciences,New Territories West,0,29,25450,3,1,1,2,3,1,1,1,3,4,Scenario_4.2
44,17352,22.3455457,114.1249239,23288,22.3621101,114.1200104,3.7935053234024734,32403,44,45,"[17352, 23288]",[3.79],252.90035489349825,30.65,0.05,SAV,0.3796,0.1313,0.3855,0.1037,20,7,3,Male,25-34,$14300??19800,Some college/Associate,1,Yes,Medium,Sometimes,Yes,No,Yes,Business/Finance,Tuen Mun,1,29,17050,2,1,1,2,2,1,0,1,2,8,Scenario_4.3
45,22848,22.4462315,114.0227677,21418,22.3028212,114.1745233,22.310926670833584,34417,36,54,"[22848, 21418]",[22.31],1487.3951113889057,167.71,0.05,SAV,0.462,0.1345,0.3157,0.0878,20,7,3,Female,35-44,$14300??19800,Bachelor's degree,2,Yes,High,Sometimes,Yes,No,Yes,Engineering/Architecture,Islands,0,39,17050,3,2,1,3,2,1,0,1,1,5,Scenario_4.3
46,22517,22.3592676,114.1313598,25037,22.3409154,114.0490381,8.708573145949513,23734,45,34,"[22517, 25037]",[8.71],580.5715430633009,64.05,0.05,SAV,0.4621,0.0856,0.329,0.1234,50,35,3,Female,18-24,$14300??19800,Bachelor's degree,3,Yes,Medium,Often,No,No,No,Engineering/Architecture,Sha Tin,0,21,17050,3,3,1,2,3,0,0,0,1,7,Scenario_4.2
47,14190,22.2861764,114.2151962,18857,22.3129989,113.9564553,37.79082425980421,29521,53,24,"[14190, 18857]",[37.79],2519.3882839869475,267.15,0.05,SAV,0.5636,0.0751,0.2518,0.1095,50,35,3,Female,Under 18,$10400??14300,Graduate degree,2,No,Medium,Never,Yes,Yes,Yes,Engineering/Architecture,Sai Kung,0,16,12350,4,2,0,2,0,1,1,1,1,6,Scenario_4.2
48,15962,22.3305043,114.165806,18661,22.4843424,114.0720455,36.06126310626671,24498,54,37,"[15962, 18661]",[36.06],2404.084207084447,244.74,0.05,SAV,0.3952,0.0752,0.4879,0.0417,50,35,3,Male,25-34,$19800??31100,Graduate degree,1,No,Medium,Very often,No,No,No,Arts/Humanities,Kowloon,1,29,25450,4,1,0,2,4,0,0,0,5,2,Scenario_4.2
49,21909,22.3296649,114.2123779,19748,22.2668317,113.9938577,13.098811868763246,34260,54,23,"[21909, 19748]",[13.10],873.2541245842164,99.52,0.05,SAV,0.4601,0.1392,0.2361,0.1646,20,7,3,Female,18-24,$19800??31100,Some college/Associate,2,No,Medium,Never,Yes,Yes,Yes,Science/Technology,Hong Kong Island,0,21,25450,2,2,0,2,0,1,1,1,4,1,Scenario_4.3
50,17154,22.2803469,114.2231442,26301,22.3047139,114.2352933,2.983905565,29591,63,64,"[17154, 26301]",[2.98],198.92703767105468,26.13,0.05,SAV,0.3136,0.1895,0.2547,0.2423,50,35,3,Female,25-34,$19800??31100,Bachelor's degree,3,Yes,Medium,Never,Yes,No,Yes,Social Sciences,Hong Kong Island,0,29,25450,3,3,1,2,0,1,0,1,3,1,Scenario_4.2
51,20726,22.4742002,114.0478514,25181,22.448006,114.0040449,5.361663994696677,35996,37,26,"[20726, 25181]",[5.36],357.4442663131118,45.53,0.05,SAV,0.4377,0.1842,0.2399,0.1382,40,16,5,Female,35-44,$19800??31100,Some college/Associate,2,No,High,Rarely,Yes,Yes,Yes,Other,New Territories West,0,39,25450,2,2,0,3,1,1,1,1,6,4,Scenario_4.4
52,16571,22.3594775,113.951441,23365,22.2716367,114.1306362,20.861198547823655,29179,25,43,"[16571, 23365]",[20.86],1390.7465698549104,156.58,0.05,SAV,0.447,0.1316,0.1809,0.2405,40,16,5,Female,18-24,$14300??19800,High school or below,2,Yes,Low,Never,Yes,Yes,Yes,Engineering/Architecture,New Territories East,0,21,17050,1,2,1,1,0,1,1,1,1,3,Scenario_4.4
53,19773,22.4965849,114.0731962,22972,22.4149635,113.9666755,10.39005696613971,26790,37,26,"[19773, 22972]",[10.39],692.6704644093139,79.13,0.05,SAV,0.5987,0.0854,0.2449,0.0711,40,16,5,Female,25-34,$14300??19800,Bachelor's degree,2,No,High,Often,Yes,Yes,Yes,Science/Technology,Hong Kong Island,0,29,17050,3,2,0,3,3,1,1,1,4,1,Scenario_4.4
54,16431,22.4419984,114.0267489,28884,22.3015268,114.2343914,26.454490988550518,25740,36,64,"[16431, 28884]",[26.45],1763.6327325700345,199.59,0.05,SAV,0.3318,0.1657,0.3858,0.1167,20,7,3,Male,25-34,$14300??19800,Graduate degree,1,Yes,Medium,Never,Yes,No,Yes,Social Sciences,Kowloon,1,29,17050,4,1,1,2,0,1,0,1,3,2,Scenario_4.3
55,23740,22.4945746,114.137646,29959,22.2845286,114.1556851,28.813808296747844,28572,47,53,"[23740, 29959]",[28.81],1920.920553116523,244.64,0.05,SAV,0.5409,0.1551,0.1672,0.1367,50,35,3,Female,Under 18,$48500 or more,Some college/Associate,4,Yes,High,Sometimes,No,No,Yes,Engineering/Architecture,New Territories East,0,16,60000,2,4,1,3,2,0,0,1,1,3,Scenario_4.2
56,20473,22.3974008,114.1956164,21257,22.3562574,114.106912,5.715876713298763,22159,55,45,"[20473, 21257]",[5.72],381.05844755325086,46.69,0.05,SAV,0.1928,0.3208,0.1984,0.288,20,7,3,Female,35-44,$31100??48500,Some college/Associate,5+,Yes,High,Never,Yes,No,Yes,Business/Finance,New Territories East,0,39,39800,2,5,1,3,0,1,0,1,2,3,Scenario_4.3
57,22609,22.3354106,114.1549152,22770,22.4461947,114.0059931,36.71164279,22562,54,26,"[22609, 22770]",[36.71],2447.4428525050002,260.81,0.05,SAV,0.3822,0.1646,0.2742,0.179,50,35,3,Male,25-34,$19800??31100,Some college/Associate,3,Yes,High,Rarely,Yes,Yes,Yes,Engineering/Architecture,New Territories East,1,29,25450,2,3,1,3,1,1,1,1,1,3,Scenario_4.2
58,17750,22.3709586,114.1083425,25614,22.3217499,114.1906601,10.08026477612048,35002,45,54,"[17750, 25614]",[10.08],672.0176517413653,76.85,0.05,SAV,0.2601,0.1717,0.2062,0.3621,240,40,10,Male,18-24,$31100??48500,Bachelor's degree,5+,Yes,High,Often,Yes,Yes,Yes,Science/Technology,Sha Tin,1,21,39800,3,5,1,3,3,1,1,1,4,7,Scenario_4.1
59,18596,22.3210151,114.1769266,30208,22.488559,114.0744149,21.40407568640959,21615,54,37,"[18596, 30208]",[21.40],1426.9383790939728,161.99,0.05,SAV,0.3945,0.1388,0.3481,0.1186,20,7,3,Male,18-24,$19800??31100,Some college/Associate,2,Yes,Medium,Sometimes,Yes,No,Yes,Engineering/Architecture,New Territories West,1,21,25450,2,2,1,2,2,1,0,1,1,4,Scenario_4.3
60,26110,22.4012642,114.2017278,21837,22.4438489,114.0159914,19.66996187392901,34798,56,36,"[26110, 21837]",[19.67],1311.3307915952676,148.29,0.05,SAV,0.5041,0.1127,0.2307,0.1526,240,40,10,Female,25-34,$31100??48500,High school or below,1,No,Low,Rarely,Yes,Yes,Yes,Business/Finance,Hong Kong Island,0,29,39800,1,1,0,1,1,1,1,1,2,1,Scenario_4.1
61,23649,22.265433,114.2472549,26381,22.2497813,114.156029,9.547997749561787,34348,63,52,"[23649, 26381]",[9.55],636.5331833041192,71.29,0.05,SAV,0.1123,0.0605,0.4892,0.338,240,40,10,Male,35-44,$10400??14300,Some college/Associate,4,No,Low,Very often,No,No,Yes,Engineering/Architecture,Sha Tin,1,39,12350,2,4,0,1,4,0,0,1,1,7,Scenario_4.1
62,20606,22.3135753,114.2752048,26064,22.4258454,114.0224823,36.84832662362742,22638,64,36,"[20606, 26064]",[36.85],2456.5551082418283,261.61,0.05,SAV,0.3786,0.1083,0.3108,0.2023,240,40,10,Female,25-34,$14300??19800,Graduate degree,3,Yes,High,Sometimes,Yes,No,Yes,Business/Finance,Sha Tin,0,29,17050,4,3,1,3,2,1,0,1,2,7,Scenario_4.1
63,26407,22.415707,113.9886718,26266,22.3180167,114.1767693,31.571194461517557,27112,26,54,"[26407, 26266]",[31.57],2104.746297434504,230.58,0.05,SAV,0.2246,0.1999,0.2879,0.2876,240,40,10,Male,25-34,$31100??48500,High school or below,2,Yes,Medium,Never,Yes,No,Yes,Social Sciences,Kowloon,1,29,39800,1,2,1,2,0,1,0,1,3,2,Scenario_4.1
64,18714,22.2535496,114.1861303,26311,22.3148489,114.2541982,12.141835255294367,23861,53,64,"[18714, 26311]",[12.14],809.4556836862911,92.48,0.05,SAV,0.1749,0.19,0.3868,0.2484,20,7,3,Male,25-34,$19800??31100,High school or below,3,No,Medium,Rarely,Yes,No,Yes,Arts/Humanities,Sai Kung,1,29,25450,1,3,0,2,1,1,0,1,5,6,Scenario_4.3
